Campus number,Campus name,District number,District name,County,County Name,Region number,Region name ,All students graduation rate,African American %,Asian %,Hispanic %,Other %,American Indian %,Pacific Islander %,White %
015907001,Brackenridge H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,92.1,100.0,.,92.2,.,.,100.0,84.6
015907002,Burbank H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,94.8,100.0,.,94.7,.,.,.,100.0
015907003,Edison H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,98.6,100.0,100.0,98.6,100.0,.,100.0,100.0
015907004,Fox Technical H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,100.0,100.0,.,100.0,.,.,.,100.0
015907005,Highlands H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,82.1,69.0,.,83.3,100.0,.,100.0,70.0
015907006,Houston H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,80.4,90.4,66.7,73.3,100.0,.,.,66.7
015907007,Jefferson H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,91.1,77.8,100.0,91.6,100.0,100.0,.,84.6
015907008,Lanier H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,82.4,75.0,100.0,82.4,0.0,100.0,.,100.0
015907022,Travis Early College H S,015907,San Antonio ISD,015,Bexar County,20,San Antonio,100.0,100.0,.,100.0,.,.,.,100.0
015907023,Young Women's Leadership Academy,015907,San Antonio ISD,015,Bexar County,20,San Antonio,100.0,100.0,100.0,100.0,.,.,.,.
015907024,Cooper Academy At Navarro,015907,San Antonio ISD,015,Bexar County,20,San Antonio,19.7,25.0,.,18.4,0.0,.,.,37.5
015907064,Brewer Academy,015907,San Antonio ISD,015,Bexar County,20,San Antonio,42.9,0.0,.,40.0,.,.,.,100.0
015907182,Healy-Murphy,015907,San Antonio ISD,015,Bexar County,20,San Antonio,21.0,0.0,.,22.6,.,.,.,50.0
015907195,Juvenile Detent Ctr,015907,San Antonio ISD,015,Bexar County,20,San Antonio,0.0,0.0,.,0.0,.,0.0,.,.
