Campus number,Campus name,District number,District name,County,County Name,Region number,Region name ,All students graduation rate,African American %,Asian %,Hispanic %,Other %,American Indian %,Pacific Islander %,White %
057905001,Bryan Adams H S,057905,Dallas ISD,057,Dallas County,10,Richardson,97.3,88.6,83.3,98.8,66.7,100.0,.,100.0
057905002,W H Adamson H S,057905,Dallas ISD,057,Dallas County,10,Richardson,87.9,85.7,100.0,87.8,.,100.0,.,100.0
057905003,A Maceo Smith New Tech H S,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,100.0,100.0,100.0,.,.,100.0
057905005,Moises E Molina H S,057905,Dallas ISD,057,Dallas County,10,Richardson,92.5,70.0,100.0,92.9,100.0,100.0,.,100.0
057905006,Hillcrest H S,057905,Dallas ISD,057,Dallas County,10,Richardson,87.5,87.9,80.0,87.5,80.0,100.0,.,88.9
057905007,Thomas Jefferson H S,057905,Dallas ISD,057,Dallas County,10,Richardson,72.6,57.1,66.7,73.5,50.0,.,.,.
057905008,Justin F Kimball H S,057905,Dallas ISD,057,Dallas County,10,Richardson,91.0,90.8,.,91.5,.,.,100.0,66.7
057905009,Lincoln Humanities/Communications,057905,Dallas ISD,057,Dallas County,10,Richardson,86.7,88.1,.,78.9,.,.,100.0,.
057905012,L G Pinkston H S,057905,Dallas ISD,057,Dallas County,10,Richardson,85.6,87.3,.,84.7,.,.,.,100.0
057905013,Franklin D Roosevelt H S,057905,Dallas ISD,057,Dallas County,10,Richardson,77.6,72.7,.,84.6,.,0.0,.,.
057905014,W W Samuell H S,057905,Dallas ISD,057,Dallas County,10,Richardson,88.3,84.1,100.0,90.1,0.0,100.0,100.0,100.0
057905015,Seagoville H S,057905,Dallas ISD,057,Dallas County,10,Richardson,88.5,92.1,66.7,89.4,100.0,100.0,.,81.1
057905016,South Oak Cliff H S,057905,Dallas ISD,057,Dallas County,10,Richardson,79.3,83.5,.,65.1,100.0,.,.,.
057905017,H Grady Spruce H S,057905,Dallas ISD,057,Dallas County,10,Richardson,78.2,71.6,.,81.4,.,0.0,.,33.3
057905018,Sunset H S,057905,Dallas ISD,057,Dallas County,10,Richardson,87.9,100.0,100.0,88.1,.,.,.,57.1
057905021,W T White H S,057905,Dallas ISD,057,Dallas County,10,Richardson,85.3,92.3,80.0,84.0,100.0,100.0,100.0,86.2
057905022,Woodrow Wilson H S,057905,Dallas ISD,057,Dallas County,10,Richardson,93.9,86.7,100.0,93.8,100.0,.,100.0,96.0
057905023,David W Carter H S,057905,Dallas ISD,057,Dallas County,10,Richardson,92.7,92.7,.,92.7,.,.,.,.
057905024,North Dallas H S,057905,Dallas ISD,057,Dallas County,10,Richardson,82.5,75.0,100.0,84.7,.,.,.,50.0
057905025,Skyline H S,057905,Dallas ISD,057,Dallas County,10,Richardson,87.8,86.0,100.0,88.5,66.7,100.0,100.0,72.7
057905026,School Of Science And Engineering,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,100.0,100.0,100.0,100.0,.,100.0
057905028,Emmett J Conrad H S,057905,Dallas ISD,057,Dallas County,10,Richardson,76.0,68.0,73.5,80.1,.,100.0,.,60.0
057905029,School Community Guidance Center,057905,Dallas ISD,057,Dallas County,10,Richardson,0.0,0.0,.,.,.,.,.,.
057905030,Maya Angelou H S,057905,Dallas ISD,057,Dallas County,10,Richardson,0.0,0.0,.,0.0,.,.,.,.
057905032,James Madison H S,057905,Dallas ISD,057,Dallas County,10,Richardson,87.9,95.1,.,75.0,.,.,.,50.0
057905033,School Of Business And Management,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,100.0,100.0,.,.,.,100.0
057905034,Booker T Washington Spva Magnet,057905,Dallas ISD,057,Dallas County,10,Richardson,99.1,100.0,.,100.0,100.0,.,.,98.4
057905035,Irma Lerma Rangel Young Women's Le,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,100.0,100.0,.,.,.,100.0
057905036,School Of Health Professions,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,100.0,100.0,.,100.0,.,100.0
057905037,Rosie Sorrells Education And Socia,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,100.0,100.0,.,.,.,100.0
057905038,Judge Barefoot Sanders Law Magnet,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,100.0,100.0,.,100.0,.,100.0
057905039,School For The Talented And Gifted,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,100.0,100.0,.,.,.,100.0
057905085,Kathlyn Joy Gilliam Collegiate Aca,057905,Dallas ISD,057,Dallas County,10,Richardson,99.0,100.0,.,97.8,.,100.0,.,.
057905088,Trinidad Garza Early College At Mt,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,.,100.0,100.0,.,.,100.0
057905090,Dr Wright L Lassiter Jr Early Coll,057905,Dallas ISD,057,Dallas County,10,Richardson,98.3,100.0,100.0,98.0,.,.,.,100.0
057905099,Hospital/Homebound,057905,Dallas ISD,057,Dallas County,10,Richardson,0.0,.,.,.,.,.,.,0.0
057905380,Wilmer-Hutchins H S,057905,Dallas ISD,057,Dallas County,10,Richardson,90.1,91.4,.,86.3,100.0,100.0,.,.
057905381,Barack Obama Male Leadership Aca A,057905,Dallas ISD,057,Dallas County,10,Richardson,100.0,100.0,.,100.0,.,.,.,.
057905389,John Leslie Patton Jr Academic Cen,057905,Dallas ISD,057,Dallas County,10,Richardson,30.4,25.7,.,34.4,.,100.0,.,0.0
